Date,Phase
3/10/2019,14.6
3/11/2019,22.4
3/13/2019,41.7
3/16/2019,74.2
3/24/2019,83.3
3/29/2019,36
3/31/2019,19.2
4/7/2019,5.3
4/14/2019,70.9
4/21/2019,93.9
4/28/2019,33.9
5/4/2019,0
5/11/2019,50
5/15/2019,87.2
5/22/2019,85
6/2/2019,0.7
6/8/2019,32.3
6/15/2019,96.8
6/22/2019,74.9
6/29/2019,12.1
7/3/2019,1.1
7/6/2019,19.9
7/13/2019,89.6
7/21/2019,80.3
7/27/2019,24.5
8/2/2019,3.6
8/3/2019,9.5
8/10/2019,79
8/17/2019,95.8
8/21/2019,69.1
8/24/2019,39.2
8/27/2019,11.1
8/29/2019,0.9
8/31/2019,2.4
9/7/2019,65.4
9/9/2019,82.5
9/11/2019,94.4
9/12/2019,97.9
9/13/2019,99.8
9/21/2019,50
9/24/2019,23
9/28/2019,0
9/29/2019,1.2
10/1/2019,11.8
10/5/2019,50
10/12/2019,98.6
10/15/2019,67
10/20/2019,59.3
10/21/2019,50
10/26/2019,3.2
11/2/2019,32.9
11/3/2019,43
11/12/2019,100
11/16/2019,82.4
11/23/2019,11.2
12/1/2019,26.2
12/8/2019,87.4
12/12/2019,100
12/22/2019,14.2
1/1/2020,36.2
1/5/2020,73.2
1/11/2020,98.9
1/15/2020,70.6
1/18/2020,37.2
1/25/2020,0.7
1/26/2020,3.2
2/1/2020,50
2/4/2020,75.2
2/8/2020,99.5
2/9/2020,100
2/14/2020,63.8
2/15/2020,50
2/28/2020,21.5
