Site,richness
Auca,Acrolophus arcanella
Auca,Acrolophus heppneri
Auca,Acrolophus plumifrontella
Auca,Actias luna
Auca,Aglossa caprealis
Auca,Allotria elonympha
Auca,Amolita obliqua
Auca,Anavitrinella pampinaria
Auca,Anicla infecta
Auca,Anisota virginiensis
Auca,Anticarsia gemmatalis
Auca,Apantesis vittata
Auca,Argyrogramma verruca
Auca,Argyrostrotis flavistriaria
Auca,Artace cribrarius
Auca,Automeris io
Auca,Bleptina caradrinalis
Auca,Callopistria cordata
Auca,Callopistria mollissima
Auca,Catocala andromedae
Auca,Catocala lineella
Auca,Catocala similis
Auca,Cecrita biundata
Auca,Celiptera frustulum
Auca,Ceratonyx satanaria
Auca,Chaetaglaea tremula
Auca,Citheronia sepulcralis
Auca,Clepsis peritana
Auca,Condica mobilis
Auca,Cossula magnifica
Auca,Costaconvexa centrostrigaria
Auca,Crambus satrapellus
Auca,Cutina distincta
Auca,Cyclophora myrtaria
Auca,Dasychira meridionalis
Auca,Datana NA
Auca,Desmia funeralis
Auca,Desmia maculalis
Auca,Dioryctria amatella
Auca,Dryocampa rubicunda
Auca,Eacles imperialis
Auca,Epidromia rotundata
Auca,Epimecis hortaria
Auca,Euchlaena amoenaria
Auca,Euchlaena deplanaria
Auca,Euchlaena obtusaria
Auca,Euclea delphinii
Auca,Euclea semifascia
Auca,Eulithis diversilineata
Auca,Eusarca confusaria
Auca,Eutrapela clemataria
Auca,Glena cribrataria
Auca,Halysidota tessellaris
Auca,Harrisimemna trisignata
Auca,Herpetogramma fluctuosalis
Auca,Heterocampa obliqua
Auca,Heterocampa subrotata
Auca,Hypagyrtis esther
Auca,Hypagyrtis unipunctata
Auca,Hyparpax perophoroides
Auca,Hypomecis umbrosaria
Auca,Hypoprepia fucosa
Auca,Hypsoropha hormos
Auca,Hypsoropha monilis
Auca,Idia aemula
Auca,Idia lubricalis
Auca,Iridopsis defectaria
Auca,Iridopsis vellivolata
Auca,Lacosoma chiridota
Auca,Lapara coniferarum
Auca,Ledaea perditalis
Auca,Leucania adjuta
Auca,Leucania incognita
Auca,Leucanopsis longa
Auca,Lochmaeus manteo
Auca,Macaria distribuaria
Auca,Malacosoma disstria
Auca,Megalopyge lacyi
Auca,Megalopyge opercularis
Auca,Metarranthis homuraria
Auca,Metarranthis obfirmaria
Auca,Metaxaglaea NA
Auca,Metria amella
Auca,Mocis marcida
Auca,Nadata gibbosa
Auca,Nematocampa resistaria
Auca,Nemoria NA
Auca,Nepytia semiclusaria
Auca,Norape cretata
Auca,Omphalocera munroei
Auca,Orgyia definita
Auca,Palthis asopialis
Auca,Pangrapta decoralis
Auca,Panopoda repanda
Auca,Panopoda rufimargo
Auca,Paonias excaecata
Auca,Patalene olyzonaria
Auca,Peridea angulosa
Auca,Phalaenostola larentioides
Auca,Phoberia atomaris
Auca,Phyprosopus callitrichoides
Auca,Polygrammate hebraeicum
Auca,Prionoxystus robiniae
Auca,Prochoerodes lineola
Auca,Prolimacodes badia
Auca,Renia flavipunctalis
Auca,Renia fraternalis
Auca,Samaea NA
Auca,Schizura ipomoeae
Auca,Scolecocampa liburna
Auca,Scopula timandrata
Auca,Spilosoma congrua
Auca,Spodoptera eridania
Auca,Stenaspilatodes antidiscaria
Auca,Symmerista albifrons
Auca,Tecmessa scitiscripta
Auca,Tetanolita mynesalis
Auca,Virbia aurantiaca
Auca,Virbia laeta
Auca,Virbia rubicundaria
Auca,Xanthopastis regnatrix
Auca,Xanthotype rufaria
Auca,Xestia dilucida
Auca,Zale horrida
Auca,Zale metatoides
Auca,Zale obliqua
Baca,Acrolophus arcanella
Baca,Anicla infecta
Baca,Cosmosoma myrodora
Baca,Desmia NA
Baca,Eupragia hospita
Baca,Eutrapela clemataria
Baca,Idia rotundalis
Baca,Isturgia dislocaria
Baca,Mocis disseverans
Baca,Mocis latipes
Baca,Mythimna unipuncta
Baca,Pilocrocis ramentalis
Baca,Zale lunata
Baca,Zanclognatha marcidilinea
Baca,Zanclognatha obscuripennis
Biva,Acropus NA
Biva,Agrotis ipsilon
Biva,Amolita fessa
Biva,Amorpha juglandis
Biva,Amyna stricta
Biva,Apantesis phalerata
Biva,Apantesis vittata
Biva,Apoda y-inversa
Biva,Automeris io
Biva,Bellura gortynoides
Biva,Callopistria mollissima
Biva,Catocala lacrymosa
Biva,Catocala piatrix
Biva,Coelodasys unicornis
Biva,Condica mobilis
Biva,Condica vecors
Biva,Dasychira tephra
Biva,Datana NA
Biva,Deidamia inscriptum
Biva,Desmia NA
Biva,Disclisioprocta stellata
Biva,Eacles imperialis
Biva,Ephyrodes cacata
Biva,Epimecis hortaria
Biva,Euchlaena amoenaria
Biva,Euchlaena deplanaria
Biva,Eulithis diversilineata
Biva,Eusarca confusaria
Biva,Eutrapela clemataria
Biva,Halysidota tessellaris
Biva,Hammaptera parinotata
Biva,Herpetogramma bipunctalis
Biva,Herpetogramma fluctuosalis
Biva,Heterocampa obliqua
Biva,Heterocampa subrotata
Biva,Homophoberia cristata
Biva,Hypagyrtis esther
Biva,Hypagyrtis unipunctata
Biva,Hypenula cacuminalis
Biva,Hypoprepia fucosa
Biva,Idia julia
Biva,Idia lubricalis
Biva,Idia rotundalis
Biva,Ilexia intractata
Biva,Iridopsis defectaria
Biva,Lambdina pultaria
Biva,Leucania adjuta
Biva,Malacosoma americana
Biva,Megalopyge opercularis
Biva,Melanolophia canadaria
Biva,Metalectra discalis
Biva,Mocis marcida
Biva,Nadata gibbosa
Biva,Natada nasoni
Biva,Nematocampa resistaria
Biva,Norape ovina
Biva,Orgyia detrita
Biva,Panopoda rufimargo
Biva,Patalene olyzonaria
Biva,Phoberia atomaris
Biva,Pilocrocis ramentalis
Biva,Polygrammodes flavidalis
Biva,Prochoerodes lineola
Biva,Schizura ipomoeae
Biva,Scolecocampa liburna
Biva,Spilosoma congrua
Biva,Spodoptera eridania
Biva,Tecmessa scitiscripta
Biva,Tetanolita floridana
Biva,Tetanolita mynesalis
Biva,Virbia rubicundaria
Biva,Zale horrida
Biva,Zale lunata
Biva,Zanclognatha atrilineella
Bowa,Acrolophus arcanella
Bowa,Acrolophus mycetophagus
Bowa,Acrolophus plumifrontella
Bowa,Acrolophus texanella
Bowa,Acronicta oblinita
Bowa,Amolita obliqua
Bowa,Anavitrinella pampinaria
Bowa,Anicla infecta
Bowa,Antiblemma NA
Bowa,Apantesis phalerata
Bowa,Apantesis vittata
Bowa,Apoda rectilinea
Bowa,Argyrogramma verruca
Bowa,Argyrostrotis anilis
Bowa,Catocala clintonii
Bowa,Catocala connubialis
Bowa,Catocala micronympha
Bowa,Ceratonyx satanaria
Bowa,Charadra deridens
Bowa,Condica mobilis
Bowa,Condica sutor
Bowa,Condica videns
Bowa,Darapsa myron
Bowa,Dasychira tephra
Bowa,Datana ranaeceps
Bowa,Desmia NA
Bowa,Disclisioprocta stellata
Bowa,Epimecis hortaria
Bowa,Euchlaena amoenaria
Bowa,Euchlaena deplanaria
Bowa,Euchlaena madusaria
Bowa,Euchlaena pectinaria
Bowa,Euclea delphinii
Bowa,Eudryas grata
Bowa,Eulithis diversilineata
Bowa,Eusarca confusaria
Bowa,Eutrapela clemataria
Bowa,Feltia subterranea
Bowa,Halysidota tessellaris
Bowa,Herpetogramma phaeopteralis
Bowa,Heterocampa obliqua
Bowa,Heterocampa subrotata
Bowa,Homophoberia apicosa
Bowa,Hypagyrtis esther
Bowa,Hypenula cacuminalis
Bowa,Hypoprepia fucosa
Bowa,Hypsoropha monilis
Bowa,Idia aemula
Bowa,Idia americalis
Bowa,Ilexia intractata
Bowa,Iridopsis defectaria
Bowa,Iridopsis vellivolata
Bowa,Lesmone detrahens
Bowa,Lochmaeus manteo
Bowa,Lycia ypsilon
Bowa,Macaria NA
Bowa,Malacosoma americana
Bowa,Malacosoma disstria
Bowa,Megalopyge crispata
Bowa,Megalopyge opercularis
Bowa,Mocis marcida
Bowa,Nadata gibbosa
Bowa,Nematocampa resistaria
Bowa,Norape ovina
Bowa,Ogdoconta cinereola
Bowa,Orgyia detrita
Bowa,Orgyia leucostigma
Bowa,Oxydia vesulia
Bowa,Palthis asopialis
Bowa,Panopoda carneicosta
Bowa,Panopoda rufimargo
Bowa,Peridea angulosa
Bowa,Pero honestaria
Bowa,Phigalia titea
Bowa,Phoberia atomaris
Bowa,Phyllodesma occidentis
Bowa,Phyprosopus callitrichoides
Bowa,Pleuroprucha insulsaria
Bowa,Plusiodonta compressipalpis
Bowa,Polygrammate hebraeicum
Bowa,Prochoerodes lineola
Bowa,Ptichodis herbarum
Bowa,Pyrrharctia isabella
Bowa,Renia flavipunctalis
Bowa,Samea ecclesialis
Bowa,Schinia trifascia
Bowa,Schizura ipomoeae
Bowa,Schizura leptinoides
Bowa,Scolecocampa liburna
Bowa,Symmerista albifrons
Bowa,Tetanolita mynesalis
Bowa,Tornos scolopacinaria
Bowa,Virbia aurantiaca
Bowa,Virbia rubicundaria
Bowa,Zale declarans
Bowa,Zale horrida
Bowa,Zanclognatha jacchusalis
Cofr,Acrolophus arcanella
Cofr,Acrolophus heppneri
Cofr,Acrolophus plumifrontella
Cofr,Actias luna
Cofr,Agrotis ipsilon
Cofr,Amorpha juglandis
Cofr,Anavitrinella pampinaria
Cofr,Apantesis phalerata
Cofr,Apantesis vittata
Cofr,Automeris io
Cofr,Callopistria floridensis
Cofr,Catocala micronympha
Cofr,Cecrita biundata
Cofr,Chaetaglaea tremula
Cofr,Condica sutor
Cofr,Cosmosoma myrodora
Cofr,Costaconvexa centrostrigaria
Cofr,Datana NA
Cofr,Desmia funeralis
Cofr,Disclisioprocta stellata
Cofr,Elaphria chalcedonia
Cofr,Ellida caniplaga
Cofr,Euchlaena amoenaria
Cofr,Euchlaena deplanaria
Cofr,Eulithis diversilineata
Cofr,Eusarca confusaria
Cofr,Eutrapela clemataria
Cofr,Feltia subterranea
Cofr,Halysidota tessellaris
Cofr,Herpetogramma bipunctalis
Cofr,Herpetogramma fluctuosalis
Cofr,Herpetogramma theseusalis
Cofr,Heterocampa obliqua
Cofr,Homophoberia apicosa
Cofr,Hypagyrtis unipunctata
Cofr,Hypena baltimoralis
Cofr,Hypena palparia
Cofr,Hypenula cacuminalis
Cofr,Hypoprepia fucosa
Cofr,Hypsoropha hormos
Cofr,Idia americalis
Cofr,Idia lubricalis
Cofr,Idia rotundalis
Cofr,Iridopsis defectaria
Cofr,Iridopsis vellivolata
Cofr,Isogona tenuis
Cofr,Leucania incognita
Cofr,Lochmaeus bilineata
Cofr,Lochmaeus manteo
Cofr,Lophosis labeculata
Cofr,Macaria bisignata
Cofr,Malacosoma americana
Cofr,Malacosoma disstria
Cofr,Megalopyge opercularis
Cofr,Melanolophia canadaria
Cofr,Mocis marcida
Cofr,Morrisonia mucens
Cofr,Nadata gibbosa
Cofr,Natada nasoni
Cofr,Nematocampa resistaria
Cofr,Norape ovina
Cofr,Ogdoconta cinereola
Cofr,Orgyia detrita
Cofr,Oxydia vesulia
Cofr,Panopoda carneicosta
Cofr,Panopoda rufimargo
Cofr,Patalene olyzonaria
Cofr,Pero honestaria
Cofr,Phigalia strigataria
Cofr,Phoberia atomaris
Cofr,Pilocrocis ramentalis
Cofr,Polygrammate hebraeicum
Cofr,Prochoerodes lineola
Cofr,Prosoparia floridana
Cofr,Pseudanthracia coracias
Cofr,Samea ecclesialis
Cofr,Samea multiplicalis
Cofr,Schizura ipomoeae
Cofr,Scolecocampa liburna
Cofr,Scopula compensata
Cofr,Spodoptera ornithogalli
Cofr,Tetanolita floridana
Cofr,Tetanolita mynesalis
Cofr,Tolype notialis
Cofr,Virbia laeta
Cofr,Virbia rubicundaria
Cofr,Xystopeplus rufago
Cofr,Zale horrida
Cofr,Zanclognatha theralis
Demi,Acrolophus arcanella
Demi,Acrolophus heppneri
Demi,Acrolophus plumifrontella
Demi,Acronicta rubicoma
Demi,Acronicta vinnula
Demi,Amolita obliqua
Demi,Anavitrinella pampinaria
Demi,Anicla infecta
Demi,Apantesis nais
Demi,Apantesis phalerata
Demi,Apantesis vittata
Demi,Argyrogramma verruca
Demi,Blepharomastix ranalis
Demi,Callopistria floridensis
Demi,Catocala similis
Demi,Ceratomia undulosa
Demi,Clemensia ochreata
Demi,Condica mobilis
Demi,Condica sutor
Demi,Copivaleria grotei
Demi,Cosmosoma myrodora
Demi,Costaconvexa centrostrigaria
Demi,Datana NA
Demi,Desmia funeralis
Demi,Diacme adipaloides
Demi,Disclisioprocta stellata
Demi,Ectropis crepuscularia
Demi,Elaphria chalcedonia
Demi,Epimecis hortaria
Demi,Euchlaena amoenaria
Demi,Euchlaena deplanaria
Demi,Euchlaena obtusaria
Demi,Eulithis NA
Demi,Eusarca confusaria
Demi,Eutrapela clemataria
Demi,Halysidota tessellaris
Demi,Herpetogramma bipunctalis
Demi,Heterocampa biundata
Demi,Heterocampa obliqua
Demi,Hypagyrtis unipunctata
Demi,Hypena palparia
Demi,Hypomecis umbrosaria
Demi,Hypoprepia miniata
Demi,Hypsoropha hormos
Demi,Idaea tacturata
Demi,Idia americalis
Demi,Idia lubricalis
Demi,Idia rotundalis
Demi,Iridopsis defectaria
Demi,Iridopsis vellivolata
Demi,Lascoria ambigualis
Demi,Leucanopsis longa
Demi,Litodonta troubridgei
Demi,Lochmaeus bilineata
Demi,Lochmaeus manteo
Demi,Macaria aequiferaria
Demi,Macaria bisignata
Demi,Macaria distribuaria
Demi,Megalopyge opercularis
Demi,Metarranthis homuraria
Demi,Mocis disseverans
Demi,Mocis latipes
Demi,Mocis marcida
Demi,Nadata gibbosa
Demi,Nematocampa resistaria
Demi,Oedemasia leptinoides
Demi,Orgyia leucostigma
Demi,Palpita magniferalis
Demi,Pangrapta decoralis
Demi,Panopoda carneicosta
Demi,Pantographa limata
Demi,Paonias excaecata
Demi,Phoberia atomaris
Demi,Phyllodesma americana
Demi,Phyprosopus callitrichoides
Demi,Prochoerodes lineola
Demi,Psamatodes abydata
Demi,Renia fraternalis
Demi,Schizura ipomoeae
Demi,Scolecocampa liburna
Demi,Scopula timandrata
Demi,Spilosoma congrua
Demi,Spodoptera eridania
Demi,Tetanolita mynesalis
Demi,Virbia aurantiaca
Demi,Virbia laeta
Demi,Virbia rubicundaria
Demi,Xanthopastis regnatrix
Demi,Zale lunata
Demi,Zanclognatha obscuripennis
Joma,Acrolophus arcanella
Joma,Allotria elonympha
Joma,Anomis illita
Joma,Apantesis nais
Joma,Apantesis phalerata
Joma,Apantesis vittata
Joma,Bellura NA
Joma,Catocala lineella
Joma,Coelodasys unicornis
Joma,Condica vecors
Joma,Cutina aluticolor
Joma,Dasychira tephra
Joma,Datana NA
Joma,Desmia funeralis
Joma,Disclisioprocta stellata
Joma,Elaphria versicolor
Joma,Ellida caniplaga
Joma,Epimecis hortaria
Joma,Eutrapela clemataria
Joma,Glenoides texanaria
Joma,Halysidota tessellaris
Joma,Herpetogramma bipunctalis
Joma,Herpetogramma fluctuosalis
Joma,Heterocampa obliqua
Joma,Homophoberia apicosa
Joma,Hypena palparia
Joma,Hypenula cacuminalis
Joma,Hypoprepia fucosa
Joma,Hypoprepia miniata
Joma,Hypsopygia binodulalis
Joma,Idia aemula
Joma,Idia americalis
Joma,Iridopsis defectaria
Joma,Iridopsis vellivolata
Joma,Isa textula
Joma,Leucania adjuta
Joma,Macaria bisignata
Joma,Malacosoma americana
Joma,Malacosoma disstria
Joma,Megalopyge opercularis
Joma,Mocis marcida
Joma,Nadata gibbosa
Joma,Nematocampa resistaria
Joma,Norape ovina
Joma,Pangrapta decoralis
Joma,Pilocrocis ramentalis
Joma,Prochoerodes lineola
Joma,Ptichodis vinculum
Joma,Renia fraternalis
Joma,Samea ecclesialis
Joma,Schizura ipomoeae
Joma,Scolecocampa liburna
Joma,Scopula lautaria
Joma,Spodoptera eridania
Joma,Tetanolita mynesalis
Joma,Zanclognatha marcidilinea
Prcr,Acrolophus arcanella
Prcr,Acrolophus forbesi
Prcr,Acrolophus heppneri
Prcr,Acrolophus plumifrontella
Prcr,Acronicta americana
Prcr,Actias luna
Prcr,Aglossa caprealis
Prcr,Agrotis ipsilon
Prcr,Amolita obliqua
Prcr,Amphipyra pyramidoides
Prcr,Anavitrinella pampinaria
Prcr,Anicla infecta
Prcr,Anisota virginiensis
Prcr,Antheraea polyphemus
Prcr,Apantesis nais
Prcr,Apantesis phalerata
Prcr,Apantesis vittata
Prcr,Apoda rectilinea
Prcr,Automeris io
Prcr,Bellura obliqua
Prcr,Callopistria cordata
Prcr,Callopistria mollissima
Prcr,Catocala amica
Prcr,Catocala ilia
Prcr,Catocala micronympha
Prcr,Catocala similis
Prcr,Charadra deridens
Prcr,Cisseps fulvicollis
Prcr,Colobochyla interpuncta
Prcr,Condica confederata
Prcr,Condica vecors
Prcr,Cosmosoma myrodora
Prcr,Costaconvexa centrostrigaria
Prcr,Cryptothelea gloverii
Prcr,Cutina aluticolor
Prcr,Cymatophora approximaria
Prcr,Datana integerrima
Prcr,Datana NA
Prcr,Desmia funeralis
Prcr,Desmia maculalis
Prcr,Diacme NA
Prcr,Dioryctria amatella
Prcr,Disclisioprocta stellata
Prcr,Dryocampa rubicunda
Prcr,Dyrapsa myron
Prcr,Eacles imperialis
Prcr,Ellida caniplaga
Prcr,Enigmogramma basigera
Prcr,Euchlaena deplanaria
Prcr,Euchlaena madusaria
Prcr,Euclea delphinii
Prcr,Eulithis diversilineata
Prcr,Eusarca confusaria
Prcr,Eutrapela clemataria
Prcr,Galgula partita
Prcr,Glenoides texanaria
Prcr,Halysidota tessellaris
Prcr,Hemeroplanis scopulepes
Prcr,Herpetogramma fluctuosalis
Prcr,Heterocampa astarte
Prcr,Heterocampa biundata
Prcr,Heterocampa obliqua
Prcr,Heterocampa subrotata
Prcr,Heterocampa umbrata
Prcr,Homophoberia apicosa
Prcr,Hypagyrtis unipunctata
Prcr,Hypena baltimoralis
Prcr,Hypena degesalis
Prcr,Hypena manalis
Prcr,Hypenula cacuminalis
Prcr,Hypomecis umbrosaria
Prcr,Hypoprepia NA
Prcr,Hypsoropha monilis
Prcr,Idia americalis
Prcr,Idia lubricalis
Prcr,Iodopepla u-album
Prcr,Iridopsis defectaria
Prcr,Lacosoma chiridota
Prcr,Lambdina pultaria
Prcr,Lesmone detrahens
Prcr,Leucania adjuta
Prcr,Leucania incognita
Prcr,Leucanopsis longa
Prcr,Litoprosopus futilis
Prcr,Lochmaeus bilineata
Prcr,Lochmaeus manteo
Prcr,Macaria bisignata
Prcr,Malacosoma disstria
Prcr,Megalopyge opercularis
Prcr,Melanolophia canadaria
Prcr,Metallata absumens
Prcr,Metarranthis homuraria
Prcr,Metria amella
Prcr,Mocis disseverans
Prcr,Mocis latipes
Prcr,Mocis marcida
Prcr,Nadata gibbosa
Prcr,Nematocampa resistaria
Prcr,Nemoria lixaria
Prcr,Norape ovina
Prcr,Orgyia detrita
Prcr,Orgyia leucostigma
Prcr,Palpita magniferalis
Prcr,Palthis asopialis
Prcr,Panopoda repanda
Prcr,Panopoda rufimargo
Prcr,Paonias excaecata
Prcr,Patalene olyzonaria
Prcr,Peridea angulosa
Prcr,Phaeoura quernaria
Prcr,Phigalia denticulata
Prcr,Phoberia atomaris
Prcr,Pilocrocis ramentalis
Prcr,Platynota rostrana
Prcr,Plusiodonta compressipalpis
Prcr,Prionoxystus robiniae
Prcr,Prochoerodes lineola
Prcr,Properigea tapeta
Prcr,Psaphida resumens
Prcr,Pyralis manihotalis
Prcr,Schinia sordidus
Prcr,Schizura ipomoeae
Prcr,Scolecocampa liburna
Prcr,Scopula lautaria
Prcr,Scopula limboundata
Prcr,Spilosoma congrua
Prcr,Stenaspilatodes antidiscaria
Prcr,Symmerista albifrons
Prcr,Tecmessa scitiscripta
Prcr,Virbia NA
Prcr,Xanthotype rufaria
Prcr,Xestia dilucida
Prcr,Zale aeruginosa
Prcr,Zale calycanthata
Prcr,Zale intenta
Prcr,Zale lunata
Rist,Acrolophus arcanella
Rist,Acrolophus heppneri
Rist,Acrolophus mycetophagus
Rist,Acrolophus plumifrontella
Rist,Acronicta afflicta
Rist,Allotria elonympha
Rist,Amolita fessa
Rist,Amolita obliqua
Rist,Amorpha juglandis
Rist,Anavitrinella pampinaria
Rist,Anticarsia gemmatalis
Rist,Apantesis nais
Rist,Apantesis phalerata
Rist,Apantesis vittata
Rist,Apoda rectilinea
Rist,Artace cribrarius
Rist,Automeris io
Rist,Bleptina caradrinalis
Rist,Caenurgia chloropha
Rist,Callopistria granitosa
Rist,Callopistria mollissima
Rist,Cisseps fulvicollis
Rist,Costaconvexa centrostrigaria
Rist,Crambus satrapellus
Rist,Dasychira manto
Rist,Dasychira tephra
Rist,Datana NA
Rist,Desmia NA
Rist,Dolba hyloeus
Rist,Epimecis hortaria
Rist,Euchlaena amoenaria
Rist,Euchlaena obtusaria
Rist,Euclea delphinii
Rist,Eulithis diversilineata
Rist,Eusarca confusaria
Rist,Eutrapela clemataria
Rist,Glenoides texanaria
Rist,Halysidota tessellaris
Rist,Hemeroplanis scopulepes
Rist,Herpetogramma fluctuosalis
Rist,Heterocampa obliqua
Rist,Homophoberia apicosa
Rist,Hyparpax perophoroides
Rist,Hypenula cacuminalis
Rist,Hypoprepia NA
Rist,Hypsopygia 
Rist,Hypsoropha hormos
Rist,Idia lubricalis
Rist,Iodopepla u-album
Rist,Iridopsis defectaria
Rist,Isa textua
Rist,Lacosoma chiridota
Rist,Lapara coniferarum
Rist,Leucania incognita
Rist,Leucanopsis longa
Rist,Lithacodes gracea
Rist,Lobocleta ossularia
Rist,Lochmaeus manteo
Rist,Malacosoma NA
Rist,Marathyssa inficita
Rist,Megalopyge lacyi
Rist,Megalopyge opercularis
Rist,Megalopyge pyxidifera
Rist,Metalectra discalis
Rist,Metallata absumens
Rist,Mocis disseverans
Rist,Mocis latipes
Rist,Mocis marcida
Rist,Nadata gibbosa
Rist,Natada nasoni
Rist,Nemoria lixaria
Rist,Oedemasia leptinoides
Rist,Omphalocera munroei
Rist,Orgyia detrita
Rist,Orgyia leucostigma
Rist,Pangrapta decoralis
Rist,Panopoda repanda
Rist,Panopoda rufimargo
Rist,Peridea angulosa
Rist,Phoberia atomaris
Rist,Phyprosopus callitrichoides
Rist,Prionoxystus robiniae
Rist,Prochoerodes lineola
Rist,Pseudanthracia coracias
Rist,Ptichodis vinculum
Rist,Renia flavipunctalis
Rist,Schinia sanguinea
Rist,Schinia trifascia
Rist,Schizura ipomoeae
Rist,Scolecocampa liburna
Rist,Spilosoma congrua
Rist,Spilosoma virginica
Rist,Spodoptera frugiperda
Rist,Tetanolita floridana
Rist,Tolype notialis
Rist,Virbia NA
Rist,Xestia dilucida
Rist,Zale intenta
Rist,Zanclognatha protumnusalis
